TIME,USER,SYSTEM,NI,IDLE,WA,HI,SI,ST,TOTAL,FREE,USED,BUFF_CACHE
18:21:11,5.6,5.6,0.0,88.9,0.0,0.0,0.0,0.0,15909.3,8363.9,4259.2,3730.2
18:21:12,0.3,0.9,0.0,98.6,0.0,0.2,0.0,0.0,15909.3,8363.9,4259.2,3730.2
