TIME,USER,SYSTEM,NI,IDLE,WA,HI,SI,ST
15:15:42,10.9,3.1,0.0,85.2,0.0,0.8,0.0,0.0
15:15:43,3.2,0.7,0.0,95.8,0.1,0.1,0.0,0.0
